,Clusters,Pays
0,1,Afghanistan
1,3,Albanie
2,5,Algérie
3,1,Angola
4,4,Antigua-et-Barbuda
5,3,Arabie saoudite
6,5,Arménie
7,3,Australie
8,5,Azerbaïdjan
9,4,Bahamas
10,1,Bangladesh
11,4,Barbade
12,5,Belize
13,3,Bermudes
14,5,Bolivie (État plurinational de)
15,5,Bosnie-Herzégovine
16,5,Botswana
17,3,Brunéi Darussalam
18,5,Bulgarie
19,1,Burkina Faso
20,1,Bénin
21,5,Cabo Verde
22,1,Cambodge
23,1,Cameroun
24,3,Chine - RAS de Macao
25,5,Chypre
26,5,Colombie
27,1,Congo
28,5,Costa Rica
29,3,Croatie
30,1,Côte d'Ivoire
31,4,Dominique
32,5,El Salvador
33,3,Estonie
34,1,Eswatini
35,5,Fidji
36,3,Finlande
37,3,Fédération de Russie
38,5,Gabon
39,1,Gambie
40,1,Ghana
41,4,Grenade
42,3,Grèce
43,1,Guatemala
44,1,Guinée
45,1,Guinée-Bissau
46,5,Guyana
47,5,Géorgie
48,1,Haïti
49,1,Honduras
50,1,Inde
51,1,Indonésie
52,5,Iran (République islamique d')
53,1,Iraq
54,3,Islande
55,3,Israël
56,4,Jamaïque
57,5,Japon
58,5,Jordanie
59,3,Kazakhstan
60,1,Kenya
61,5,Kirghizistan
62,5,Kiribati
63,2,Koweït
64,1,Lesotho
65,3,Lettonie
66,5,Liban
67,1,Libéria
68,3,Lituanie
69,3,Luxembourg
70,1,Madagascar
71,5,Malaisie
72,1,Malawi
73,3,Maldives
74,5,Mali
75,3,Malte
76,5,Maroc
77,5,Maurice
78,5,Mauritanie
79,5,Mexique
80,5,Mongolie
81,3,Monténégro
82,1,Mozambique
83,5,Myanmar
84,1,Nicaragua
85,1,Niger
86,1,Nigéria
87,3,Norvège
88,3,Nouvelle-Zélande
89,1,Népal
90,2,Oman
91,1,Ouganda
92,5,Ouzbékistan
93,5,Pakistan
94,5,Panama
95,5,Paraguay
96,5,Philippines
97,3,Portugal
98,5,Pérou
99,1,Rwanda
100,1,République centrafricaine
101,3,République de Corée
102,5,République de Moldova
103,5,République dominicaine
104,1,République démocratique populaire lao
105,1,République-Unie de Tanzanie
106,4,Saint-Kitts-et-Nevis
107,4,Saint-Vincent-et-les Grenadines
108,4,Sainte-Lucie
109,4,Samoa
110,1,Sao Tomé-et-Principe
111,5,Serbie
112,1,Sierra Leone
113,5,Slovaquie
114,3,Slovénie
115,5,Soudan
116,1,Sri Lanka
117,3,Suisse
118,5,Suriname
119,3,Suède
120,1,Sénégal
121,1,Tadjikistan
122,1,Tchad
123,3,Tchéquie (la)
124,1,Timor-Leste
125,1,Togo
126,4,Trinité-et-Tobago
127,5,Tunisie
128,5,Turkménistan
129,3,Uruguay
130,1,Vanuatu
131,5,Venezuela (République bolivarienne du)
132,5,Viet Nam
133,1,Yémen
134,1,Zambie
135,1,Zimbabwe
136,5,l'ex-République yougoslave de Macédoine
137,5,Égypte
138,2,Émirats arabes unis
139,5,Équateur
140,1,Éthiopie
141,1,Îles Salomon
